Loaded 1 labels
java.io.FileNotFoundException: D:\datasets\hotdog\train\train.txt (The system cannot find the file specified)
Loaded 1 labels
Loaded 498 images
Loaded 1 labels
Loaded 498 images
Loaded 1 labels
Loaded 498 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:53, Time:3807ms, TrainError:0.55782735, TrainErrorChange:-0.011592805, TrainAccuracy: 0.6626506
Epoch:54, Time:3658ms, TrainError:0.55363965, TrainErrorChange:-0.004187703, TrainAccuracy: 0.6566265
Epoch:55, Time:3656ms, TrainError:0.52332896, TrainErrorChange:-0.03031069, TrainAccuracy: 0.65863454
Epoch:56, Time:3672ms, TrainError:0.55435824, TrainErrorChange:0.031029284, TrainAccuracy: 0.6967871
Epoch:57, Time:3673ms, TrainError:0.51499045, TrainErrorChange:-0.039367795, TrainAccuracy: 0.6686747
Epoch:58, Time:3657ms, TrainError:0.51590383, TrainErrorChange:9.133816E-4, TrainAccuracy: 0.72088355
Epoch:59, Time:3660ms, TrainError:0.49674228, TrainErrorChange:-0.019161552, TrainAccuracy: 0.6485944
Epoch:60, Time:3667ms, TrainError:0.5482249, TrainErrorChange:0.051482648, TrainAccuracy: 0.7008032
Epoch:61, Time:3675ms, TrainError:0.46312994, TrainErrorChange:-0.08509499, TrainAccuracy: 0.7269076
Epoch:62, Time:3661ms, TrainError:0.47798532, TrainErrorChange:0.014855385, TrainAccuracy: 0.59839356
Epoch:63, Time:3690ms, TrainError:0.5030947, TrainErrorChange:0.02510935, TrainAccuracy: 0.6706827
Epoch:64, Time:3676ms, TrainError:0.47613597, TrainErrorChange:-0.026958704, TrainAccuracy: 0.6987952
Epoch:65, Time:3666ms, TrainError:0.5581837, TrainErrorChange:0.08204776, TrainAccuracy: 0.6526104
Epoch:66, Time:3659ms, TrainError:0.5329789, TrainErrorChange:-0.025204837, TrainAccuracy: 0.6646586
Epoch:67, Time:3674ms, TrainError:0.51119286, TrainErrorChange:-0.021786034, TrainAccuracy: 0.6064257
Epoch:68, Time:3675ms, TrainError:0.50096935, TrainErrorChange:-0.010223508, TrainAccuracy: 0.59839356
Epoch:69, Time:3661ms, TrainError:0.48927358, TrainErrorChange:-0.011695772, TrainAccuracy: 0.5943775
Epoch:70, Time:3664ms, TrainError:0.4649688, TrainErrorChange:-0.024304777, TrainAccuracy: 0.68875504
Epoch:71, Time:3688ms, TrainError:0.47797075, TrainErrorChange:0.013001949, TrainAccuracy: 0.6686747
Epoch:72, Time:3750ms, TrainError:0.48097956, TrainErrorChange:0.0030088127, TrainAccuracy: 0.70883536
Epoch:73, Time:3960ms, TrainError:0.44714487, TrainErrorChange:-0.033834696, TrainAccuracy: 0.6947791
Epoch:74, Time:3804ms, TrainError:0.4669935, TrainErrorChange:0.019848645, TrainAccuracy: 0.6646586
Epoch:75, Time:4355ms, TrainError:0.5032247, TrainErrorChange:0.03623116, TrainAccuracy: 0.6485944
Epoch:76, Time:4165ms, TrainError:0.5154412, TrainErrorChange:0.012216508, TrainAccuracy: 0.6064257
Epoch:77, Time:3753ms, TrainError:0.505893, TrainErrorChange:-0.009548187, TrainAccuracy: 0.61044174
Epoch:78, Time:3853ms, TrainError:0.5271594, TrainErrorChange:0.0212664, TrainAccuracy: 0.70481926
Epoch:79, Time:3753ms, TrainError:0.4607599, TrainErrorChange:-0.066399485, TrainAccuracy: 0.6686747
Epoch:80, Time:3835ms, TrainError:0.4768307, TrainErrorChange:0.016070783, TrainAccuracy: 0.71686745
